dataset,seq,frame,class,track_id,gt_id_new,no_box,f_weak,f_comp,f_swap,r_weak,r_comp,r_swap
MOT17,V001,554,S_r,22,15,0,0.093985,0.125714,-1.615596,0.880660,0.400492,0.423464
MOT17,V001,570,S_c,67,18,0,1.000000,0.000000,-0.904359,1.000000,0.226412,0.914298
MOT17,V001,580,S_r,21,31,0,0.029549,0.687111,-0.521110,0.392416,0.996406,0.992431
MOT17,V001,596,S_h,57,15,0,0.735145,0.087280,-1.155104,0.997472,0.342145,0.786412
MOT17,V002,317,S_r,98,17,0,0.128753,0.031835,-1.797965,0.935327,0.268506,0.260670
MOT17,V002,318,S_c,105,76,0,0.571035,0.029926,-1.359967,0.996455,0.266202,0.641238
MOT17,V002,348,S_c,111,38,0,0.777963,0.220038,-0.568718,0.997634,0.556153,0.989151
MOT17,V002,353,S_c,113,56,0,0.651326,0.097803,-1.220265,0.997096,0.357652,0.743968
MOT17,V002,358,S_r,96,28,0,0.137057,0.615875,-0.597638,0.942916,0.981698,0.986184
MOT17,V002,364,S_r,82,31,0,0.126815,0.213704,-1.299589,0.933398,0.545356,0.687904
MOT17,V002,366,S_c,116,29,0,0.527580,0.326971,-0.985100,0.996007,0.728263,0.879943
MOT17,V002,389,S_r,97,18,0,0.417444,0.037980,-1.495960,0.994065,0.276245,0.526967
MOT17,V002,391,S_r,99,42,0,0.128186,0.149539,-1.519532,0.934774,0.438465,0.506779
MOT17,V002,394,S_r,108,9,0,0.230388,0.178172,-1.369020,0.980620,0.485309,0.633875
MOT17,V002,395,S_r,113,48,0,0.172600,0.277823,-1.177270,0.964748,0.652324,0.772290
MOT17,V002,395,S_c,119,67,0,0.869289,0.035601,-1.038404,0.998003,0.273302,0.853661
MOT17,V002,400,S_h,106,17,0,0.319840,0.238529,-1.141637,0.990061,0.587085,0.794917
MOT17,V002,404,S_h,82,26,0,0.125250,0.290801,-1.065357,0.931708,0.673150,0.839423
MOT17,V002,405,S_h,98,10,0,0.374192,0.232893,-0.965453,0.992663,0.577729,0.889044
MOT17,V002,405,S_c,120,15,0,0.704734,0.091912,-1.144507,0.997356,0.348686,0.793114
MOT17,V002,408,S_h,95,41,0,0.168305,0.071887,-1.699889,0.962810,0.320545,0.351407
MOT17,V002,423,S_r,88,61,0,0.132584,0.026312,-1.780700,0.938956,0.261797,0.277971
MOT17,V002,427,S_h,96,31,0,0.494118,0.295719,-0.980101,0.995574,0.680906,0.882327
MOT17,V002,429,S_r,106,9,0,0.113844,0.629636,-0.445803,0.917265,0.985491,0.995413
MOT17,V002,442,S_r,116,31,0,0.174376,0.529469,-0.657075,0.965534,0.941179,0.978393
MOT17,V002,443,S_c,123,60,0,0.674180,0.016313,-1.252213,0.997214,0.249327,0.722340
MOT17,V002,448,S_c,125,17,0,0.953973,0.007434,-0.929983,0.998290,0.237837,0.904193
MOT17,V002,448,S_h,106,76,0,0.959120,0.009176,-0.707719,0.998306,0.240181,0.970017
MOT17,V002,451,S_r,85,48,0,0.126219,0.713869,-0.221929,0.932777,0.998513,0.998796
MOT17,V002,452,S_c,127,10,0,0.825749,0.159173,-0.978024,0.997830,0.454081,0.883260
MOT17,V002,452,S_r,103,33,0,0.369409,0.154444,-1.273231,0.992514,0.446347,0.707172
MOT17,V002,454,S_h,105,9,0,0.541616,0.093030,-1.095607,0.996170,0.350362,0.822916
MOT17,V002,455,S_h,110,33,0,0.684201,0.063733,-1.125297,0.997263,0.309409,0.805012
MOT17,V002,457,S_r,127,9,0,0.586231,0.278615,-0.716880,0.996597,0.653603,0.968384
MOT17,V002,457,S_c,128,40,0,0.962586,0.020605,-0.881222,0.998318,0.254789,0.922964
MOT17,V002,458,S_h,105,9,0,0.404754,0.343772,-0.361992,0.993703,0.751786,0.997227
MOT17,V002,458,S_r,119,41,0,0.051731,0.112351,-1.666081,0.681760,0.379787,0.380247
MOT17,V002,461,S_r,108,9,0,0.081744,0.569165,-0.743861,0.846374,0.963557,0.962833
MOT17,V002,461,S_h,113,48,0,0.826046,0.078896,-0.898164,0.997830,0.330317,0.916649
MOT17,V002,461,S_r,107,56,0,0.317383,0.270020,-0.980537,0.989907,0.639453,0.882122
MOT17,V002,462,S_h,95,42,0,0.542851,0.228382,-1.137498,0.996181,0.570211,0.797502
MOT17,V002,462,S_h,83,49,0,0.582746,0.034931,-0.872311,0.996566,0.272436,0.926058
MOT17,V002,473,S_r,119,42,0,0.162138,0.418438,-0.885543,0.959836,0.844418,0.921388
MOT17,V002,473,S_r,95,67,0,0.105460,0.428422,-0.885543,0.904008,0.855398,0.921388
MOT17,V002,475,S_r,110,32,0,0.013955,0.360599,-1.231774,0.104003,0.774158,0.736374
MOT17,V002,475,S_r,103,33,0,0.025137,0.368534,-1.231774,0.310900,0.784260,0.736374
MOT17,V002,479,S_r,125,41,0,0.032470,0.289827,-1.312755,0.442411,0.671616,0.678145
MOT17,V002,485,S_r,119,17,0,0.087848,0.120599,-1.567755,0.864822,0.392421,0.464941
MOT17,V002,486,S_h,85,56,0,0.464060,0.000000,-1.457639,0.995095,0.226412,0.559592
MOT17,V002,488,S_c,130,42,0,0.734637,0.254429,-0.988109,0.997470,0.613717,0.878556
MOT17,V002,496,S_c,131,31,0,0.362017,0.509971,-0.602358,0.992228,0.927835,0.985635
MOT17,V002,498,S_r,106,41,0,0.102939,0.464789,-0.863485,0.899441,0.891387,0.929080
MOT17,V002,498,S_r,125,78,0,0.087585,0.475392,-0.919691,0.864130,0.900640,0.908311
MOT17,V002,508,S_r,106,42,0,0.123700,0.620296,-0.333674,0.929977,0.983007,0.997635
MOT17,V002,508,S_r,130,78,0,0.040565,0.333949,-1.031518,0.561809,0.738146,0.857129
MOT17,V002,514,S_r,120,18,0,0.508620,0.282206,-0.403952,0.995775,0.659488,0.996444
MOT17,V002,514,S_h,125,42,0,0.565847,0.200843,-0.187595,0.996406,0.523576,0.999038
MOT17,V002,516,S_r,106,9,0,0.149450,0.677604,-0.417766,0.952293,0.995177,0.996137
MOT17,V002,516,S_r,108,41,0,0.140224,0.390769,-0.985436,0.945535,0.811839,0.879787
MOT17,V002,519,S_r,97,18,0,0.132404,0.100330,-1.653361,0.938798,0.361522,0.391147
MOT17,V002,523,S_r,125,10,0,0.107051,0.377914,-1.071099,0.906724,0.796090,0.836397
MOT17,V002,523,S_r,95,17,0,0.041756,0.314580,-1.140383,0.576815,0.709981,0.795703
MOT17,V002,524,S_r,127,42,0,0.551755,0.351661,-0.697235,0.996268,0.762507,0.971928
MOT17,V002,530,S_r,127,9,0,0.080969,0.496978,-0.765635,0.843798,0.918183,0.957781
MOT17,V002,530,S_r,106,42,0,0.130234,0.526183,-0.765635,0.936760,0.939055,0.957781
MOT17,V002,554,S_r,95,15,0,0.093985,0.125714,-1.615596,0.880660,0.400492,0.423464
MOT17,V002,570,S_c,140,18,0,1.000000,0.000000,-0.904359,1.000000,0.226412,0.914298
MOT17,V002,580,S_r,94,31,0,0.029549,0.687111,-0.521110,0.392416,0.996406,0.992431
MOT17,V002,596,S_h,130,15,0,0.735145,0.087280,-1.155104,0.997472,0.342145,0.786412
MOT17,V003,317,S_r,171,17,0,0.128753,0.031835,-1.797965,0.935327,0.268506,0.260670
MOT17,V003,318,S_c,178,76,0,0.571035,0.029926,-1.359967,0.996455,0.266202,0.641238
MOT17,V003,348,S_c,184,38,0,0.777963,0.220038,-0.568718,0.997634,0.556153,0.989151
MOT17,V003,353,S_c,186,56,0,0.651326,0.097803,-1.220265,0.997096,0.357652,0.743968
MOT17,V003,358,S_r,169,28,0,0.137057,0.615875,-0.597638,0.942916,0.981698,0.986184
MOT17,V003,364,S_r,155,31,0,0.126815,0.213704,-1.299589,0.933398,0.545356,0.687904
MOT17,V003,366,S_c,189,29,0,0.527580,0.326971,-0.985100,0.996007,0.728263,0.879943
MOT17,V003,389,S_r,170,18,0,0.417444,0.037980,-1.495960,0.994065,0.276245,0.526967
MOT17,V003,391,S_r,172,42,0,0.128186,0.149539,-1.519532,0.934774,0.438465,0.506779
MOT17,V003,394,S_r,181,9,0,0.230388,0.178172,-1.369020,0.980620,0.485309,0.633875
MOT17,V003,395,S_r,186,48,0,0.172600,0.277823,-1.177270,0.964748,0.652324,0.772290
MOT17,V003,395,S_c,192,67,0,0.869289,0.035601,-1.038404,0.998003,0.273302,0.853661
MOT17,V003,400,S_h,179,17,0,0.319840,0.238529,-1.141637,0.990061,0.587085,0.794917
MOT17,V003,404,S_h,155,26,0,0.125250,0.290801,-1.065357,0.931708,0.673150,0.839423
MOT17,V003,405,S_h,171,10,0,0.374192,0.232893,-0.965453,0.992663,0.577729,0.889044
MOT17,V003,405,S_c,193,15,0,0.704734,0.091912,-1.144507,0.997356,0.348686,0.793114
MOT17,V003,408,S_h,168,41,0,0.168305,0.071887,-1.699889,0.962810,0.320545,0.351407
MOT17,V003,423,S_r,161,61,0,0.132584,0.026312,-1.780700,0.938956,0.261797,0.277971
MOT17,V003,427,S_h,169,31,0,0.494118,0.295719,-0.980101,0.995574,0.680906,0.882327
MOT17,V003,429,S_r,179,9,0,0.113844,0.629636,-0.445803,0.917265,0.985491,0.995413
MOT17,V003,442,S_r,189,31,0,0.174376,0.529469,-0.657075,0.965534,0.941179,0.978393
MOT17,V003,443,S_c,196,60,0,0.674180,0.016313,-1.252213,0.997214,0.249327,0.722340
MOT17,V003,448,S_c,198,17,0,0.953973,0.007434,-0.929983,0.998290,0.237837,0.904193
MOT17,V003,448,S_h,179,76,0,0.959120,0.009176,-0.707719,0.998306,0.240181,0.970017
MOT17,V003,451,S_r,158,48,0,0.126219,0.713869,-0.221929,0.932777,0.998513,0.998796
MOT17,V003,452,S_c,200,10,0,0.825749,0.159173,-0.978024,0.997830,0.454081,0.883260
MOT17,V003,452,S_r,176,33,0,0.369409,0.154444,-1.273231,0.992514,0.446347,0.707172
MOT17,V003,454,S_h,178,9,0,0.541616,0.093030,-1.095607,0.996170,0.350362,0.822916
MOT17,V003,455,S_h,183,33,0,0.684201,0.063733,-1.125297,0.997263,0.309409,0.805012
MOT17,V003,457,S_r,200,9,0,0.586231,0.278615,-0.716880,0.996597,0.653603,0.968384
MOT17,V003,457,S_c,201,40,0,0.962586,0.020605,-0.881222,0.998318,0.254789,0.922964
MOT17,V003,458,S_h,178,9,0,0.404754,0.343772,-0.361992,0.993703,0.751786,0.997227
MOT17,V003,458,S_r,192,41,0,0.051731,0.112351,-1.666081,0.681760,0.379787,0.380247
MOT17,V003,461,S_r,181,9,0,0.081744,0.569165,-0.743861,0.846374,0.963557,0.962833
MOT17,V003,461,S_h,186,48,0,0.826046,0.078896,-0.898164,0.997830,0.330317,0.916649
MOT17,V003,461,S_r,180,56,0,0.317383,0.270020,-0.980537,0.989907,0.639453,0.882122
MOT17,V003,462,S_h,168,42,0,0.542851,0.228382,-1.137498,0.996181,0.570211,0.797502
MOT17,V003,462,S_h,156,49,0,0.582746,0.034931,-0.872311,0.996566,0.272436,0.926058
MOT17,V003,473,S_r,192,42,0,0.162138,0.418438,-0.885543,0.959836,0.844418,0.921388
MOT17,V003,473,S_r,168,67,0,0.105460,0.428422,-0.885543,0.904008,0.855398,0.921388
MOT17,V003,475,S_r,183,32,0,0.013955,0.360599,-1.231774,0.104003,0.774158,0.736374
MOT17,V003,475,S_r,176,33,0,0.025137,0.368534,-1.231774,0.310900,0.784260,0.736374
MOT17,V003,479,S_r,198,41,0,0.032470,0.289827,-1.312755,0.442411,0.671616,0.678145
MOT17,V003,485,S_r,192,17,0,0.087848,0.120599,-1.567755,0.864822,0.392421,0.464941
MOT17,V003,486,S_h,158,56,0,0.464060,0.000000,-1.457639,0.995095,0.226412,0.559592
MOT17,V003,488,S_c,203,42,0,0.734637,0.254429,-0.988109,0.997470,0.613717,0.878556
MOT17,V003,496,S_c,204,31,0,0.362017,0.509971,-0.602358,0.992228,0.927835,0.985635
MOT17,V003,498,S_r,179,41,0,0.102939,0.464789,-0.863485,0.899441,0.891387,0.929080
MOT17,V003,498,S_r,198,78,0,0.087585,0.475392,-0.919691,0.864130,0.900640,0.908311
MOT17,V003,508,S_r,179,42,0,0.123700,0.620296,-0.333674,0.929977,0.983007,0.997635
MOT17,V003,508,S_r,203,78,0,0.040565,0.333949,-1.031518,0.561809,0.738146,0.857129
MOT17,V003,514,S_r,193,18,0,0.508620,0.282206,-0.403952,0.995775,0.659488,0.996444
MOT17,V003,514,S_h,198,42,0,0.565847,0.200843,-0.187595,0.996406,0.523576,0.999038
MOT17,V003,516,S_r,179,9,0,0.149450,0.677604,-0.417766,0.952293,0.995177,0.996137
MOT17,V003,516,S_r,181,41,0,0.140224,0.390769,-0.985436,0.945535,0.811839,0.879787
MOT17,V003,519,S_r,170,18,0,0.132404,0.100330,-1.653361,0.938798,0.361522,0.391147
MOT17,V003,523,S_r,198,10,0,0.107051,0.377914,-1.071099,0.906724,0.796090,0.836397
MOT17,V003,523,S_r,168,17,0,0.041756,0.314580,-1.140383,0.576815,0.709981,0.795703
MOT17,V003,524,S_r,200,42,0,0.551755,0.351661,-0.697235,0.996268,0.762507,0.971928
MOT17,V003,530,S_r,200,9,0,0.080969,0.496978,-0.765635,0.843798,0.918183,0.957781
MOT17,V003,530,S_r,179,42,0,0.130234,0.526183,-0.765635,0.936760,0.939055,0.957781
MOT17,V003,554,S_r,168,15,0,0.093985,0.125714,-1.615596,0.880660,0.400492,0.423464
MOT17,V003,570,S_c,213,18,0,1.000000,0.000000,-0.904359,1.000000,0.226412,0.914298
MOT17,V003,580,S_r,167,31,0,0.029549,0.687111,-0.521110,0.392416,0.996406,0.992431
MOT17,V003,596,S_h,203,15,0,0.735145,0.087280,-1.155104,0.997472,0.342145,0.786412
MOT17,V004,624,S_c,269,93,0,0.368395,0.172450,-1.108366,0.992482,0.475783,0.815410
MOT17,V004,839,S_r,233,93,0,0.015992,0.477567,-1.008804,0.138213,0.902464,0.868447
MOT17,V004,839,S_r,269,96,0,0.018602,0.479035,-1.008804,0.185250,0.903677,0.868447
MOT17,V004,915,S_c,285,141,0,0.599023,0.104424,-1.230734,0.996726,0.367734,0.737058
MOT17,V004,936,S_r,276,141,0,0.025976,0.036942,-1.858801,0.327005,0.274927,0.187970
MOT17,V004,956,S_h,285,141,0,0.426298,0.004604,-1.506344,0.994290,0.233872,0.518240
MOT17,V005,624,S_c,339,93,0,0.368395,0.172450,-1.108366,0.992482,0.475783,0.815410
MOT17,V005,839,S_r,303,93,0,0.015992,0.477567,-1.008804,0.138213,0.902464,0.868447
MOT17,V005,839,S_r,339,96,0,0.018602,0.479035,-1.008804,0.185250,0.903677,0.868447
MOT17,V005,915,S_c,355,141,0,0.599023,0.104424,-1.230734,0.996726,0.367734,0.737058
MOT17,V005,936,S_r,346,141,0,0.025976,0.036942,-1.858801,0.327005,0.274927,0.187970
MOT17,V005,956,S_h,355,141,0,0.426298,0.004604,-1.506344,0.994290,0.233872,0.518240
MOT17,V006,624,S_c,409,93,0,0.368395,0.172450,-1.108366,0.992482,0.475783,0.815410
MOT17,V006,839,S_r,373,93,0,0.015992,0.477567,-1.008804,0.138213,0.902464,0.868447
MOT17,V006,839,S_r,409,96,0,0.018602,0.479035,-1.008804,0.185250,0.903677,0.868447
MOT17,V006,915,S_c,425,141,0,0.599023,0.104424,-1.230734,0.996726,0.367734,0.737058
MOT17,V006,936,S_r,416,141,0,0.025976,0.036942,-1.858801,0.327005,0.274927,0.187970
MOT17,V006,956,S_h,425,141,0,0.426298,0.004604,-1.506344,0.994290,0.233872,0.518240
MOT17,V007,420,S_r,434,48,0,0.312438,0.554607,-0.132955,0.989582,0.956002,0.999331
MOT17,V007,422,S_c,435,49,0,0.614221,0.000000,-1.291576,0.996832,0.226412,0.693811
MOT17,V007,443,S_r,438,124,0,0.146567,0.000000,-1.805814,0.950350,0.226412,0.252516
MOT17,V007,444,S_h,434,49,0,1.000000,0.000000,-0.889818,1.000000,0.226412,0.919810
