dataset,seq,frame,class,track_id,gt_id_new,no_box,f_weak,f_comp,f_swap,r_weak,r_comp,r_swap
MOT17,V007,445,S_c,442,48,0,0.702200,0.000000,-1.227053,0.997349,0.226412,0.739554
MOT17,V007,447,S_h,439,124,0,0.286791,0.000000,-1.658012,0.987607,0.226412,0.387138
MOT17,V007,463,S_r,434,48,0,0.497094,0.484292,-0.135984,0.995613,0.908100,0.999320
MOT17,V007,522,S_r,440,54,0,0.203379,0.136695,-1.432055,0.974938,0.418091,0.581364
MOT17,V007,530,S_h,437,54,0,0.603885,0.019821,-1.293909,0.996767,0.253813,0.692068
MOT17,V007,558,S_r,440,60,0,0.673143,0.312881,-0.402306,0.997212,0.707391,0.996460
MOT17,V007,561,S_h,443,52,0,0.622094,0.080738,-0.952353,0.996889,0.332971,0.894798
MOT17,V007,589,S_h,443,53,0,0.372605,0.186205,-1.182638,0.992611,0.498812,0.768779
MOT17,V007,593,S_h,441,54,0,0.168566,0.179022,-1.280712,0.962940,0.486725,0.701663
MOT17,V007,602,S_h,437,54,0,0.192319,0.130262,-1.543277,0.971916,0.407793,0.486178
MOT17,V007,733,S_h,472,136,0,0.441616,0.000000,-1.521343,0.994644,0.226412,0.505202
MOT17,V007,754,S_h,453,83,0,0.250842,0.086682,-1.572296,0.983767,0.341302,0.460925
MOT17,V007,755,S_c,479,89,0,0.961075,0.000127,-0.093376,0.998313,0.226653,0.999477
MOT17,V007,761,S_h,478,84,0,0.965871,0.024473,-0.985385,0.998326,0.259608,0.879819
MOT17,V007,762,S_h,477,96,0,0.114178,0.035593,-1.600638,0.917762,0.273292,0.436346
MOT17,V007,762,S_h,479,98,0,0.680920,0.027736,-1.191661,0.997257,0.263473,0.762901
MOT17,V007,764,S_c,482,89,0,0.832880,0.009517,-1.012250,0.997859,0.240629,0.866826
MOT17,V007,767,S_h,478,96,0,0.485026,0.359809,-0.824010,0.995448,0.773096,0.941892
MOT17,V007,780,S_c,488,141,0,0.980987,0.000000,-0.959364,0.998376,0.226412,0.891751
MOT17,V007,785,S_c,490,84,0,0.687366,0.000000,-1.267447,0.997279,0.226412,0.711408
MOT17,V007,785,S_c,491,96,0,0.821640,0.000000,-1.082319,0.997820,0.226412,0.830268
MOT17,V007,790,S_h,482,98,0,0.283891,0.091599,-1.452104,0.987322,0.348239,0.564283
MOT17,V007,794,S_h,478,99,0,0.498420,0.007038,-1.311822,0.995628,0.237307,0.678813
MOT17,V007,797,S_h,482,99,0,0.351427,0.000000,-1.537264,0.991756,0.226412,0.491436
MOT17,V007,798,S_c,496,98,0,1.000000,0.000000,-0.919692,1.000000,0.226412,0.908311
MOT17,V007,799,S_h,479,99,0,0.243726,0.012369,-1.690612,0.982790,0.244289,0.359438
MOT17,V007,800,S_h,477,97,0,0.286715,0.142503,-1.039933,0.987598,0.427383,0.852903
MOT17,V007,804,S_h,488,97,0,0.198951,0.291210,-1.155532,0.973765,0.673784,0.786159
MOT17,V007,805,S_h,477,97,0,0.160825,0.283886,-1.070050,0.959154,0.662218,0.836960
MOT17,V007,807,S_r,453,71,0,0.077302,0.648268,-0.566759,0.830794,0.989708,0.989333
MOT17,V007,809,S_r,479,98,0,0.178138,0.133023,-1.047352,0.967018,0.412321,0.848911
MOT17,V007,809,S_h,496,101,0,0.340460,0.301028,-1.047352,0.991204,0.689269,0.848911
MOT17,V007,810,S_r,456,71,0,0.253692,0.616702,0.283143,0.984115,0.981957,0.999884
MOT17,V007,816,S_h,498,99,0,0.519074,0.000000,-1.411328,0.995901,0.226412,0.598922
MOT17,V007,824,S_h,482,110,0,0.290176,0.264528,-0.958148,0.987914,0.630394,0.892278
MOT17,V007,834,S_h,488,110,0,0.434089,0.000000,-1.535907,0.994467,0.226412,0.492636
MOT17,V008,420,S_r,505,48,0,0.312438,0.554607,-0.132955,0.989582,0.956002,0.999331
MOT17,V008,422,S_c,506,49,0,0.614221,0.000000,-1.291576,0.996832,0.226412,0.693811
MOT17,V008,443,S_r,509,124,0,0.146567,0.000000,-1.805814,0.950350,0.226412,0.252516
MOT17,V008,444,S_h,505,49,0,1.000000,0.000000,-0.889818,1.000000,0.226412,0.919810
MOT17,V008,445,S_c,513,48,0,0.702200,0.000000,-1.227053,0.997349,0.226412,0.739554
MOT17,V008,447,S_h,510,124,0,0.286791,0.000000,-1.658012,0.987607,0.226412,0.387138
MOT17,V008,463,S_r,505,48,0,0.497094,0.484292,-0.135984,0.995613,0.908100,0.999320
MOT17,V008,522,S_r,511,54,0,0.203379,0.136695,-1.432055,0.974938,0.418091,0.581364
MOT17,V008,530,S_h,508,54,0,0.603885,0.019821,-1.293909,0.996767,0.253813,0.692068
MOT17,V008,558,S_r,511,60,0,0.673143,0.312881,-0.402306,0.997212,0.707391,0.996460
MOT17,V008,561,S_h,514,52,0,0.622094,0.080738,-0.952353,0.996889,0.332971,0.894798
MOT17,V008,589,S_h,514,53,0,0.372605,0.186205,-1.182638,0.992611,0.498812,0.768779
MOT17,V008,593,S_h,512,54,0,0.168566,0.179022,-1.280712,0.962940,0.486725,0.701663
MOT17,V008,602,S_h,508,54,0,0.192319,0.130262,-1.543277,0.971916,0.407793,0.486178
MOT17,V008,733,S_h,543,136,0,0.441616,0.000000,-1.521343,0.994644,0.226412,0.505202
MOT17,V008,754,S_h,524,83,0,0.250842,0.086682,-1.572296,0.983767,0.341302,0.460925
MOT17,V008,755,S_c,550,89,0,0.961075,0.000127,-0.093376,0.998313,0.226653,0.999477
