dataset,seq,frame,type,class,track_id,gt_id_new,old_hid,top1,top2,margin,no_box,cos_theta,r_v,v_obs_norm,sigma_norm,n_neighbor,geom_020
MOT17,V001,514,switch,S_r,47,18,24,0.4914,0.2822,0.2092,0,-0.9980,2.865650,0.0296,0.0582,2.0,0
MOT17,V001,514,switch,S_h,52,42,33,0.4342,0.2008,0.2333,0,,,,0.0597,,0
MOT17,V001,516,switch,S_r,33,9,35,0.8505,0.6776,0.1729,0,-0.5523,2.745595,0.0299,0.0600,4.0,1
MOT17,V001,516,switch,S_r,35,41,33,0.8598,0.3908,0.4690,0,0.9862,1.884127,0.0225,0.0586,4.0,0
MOT17,V001,519,switch,S_r,24,18,47,0.8676,0.1003,0.7673,0,0.9728,4.447114,0.0322,0.0556,2.0,0
MOT17,V001,523,switch,S_r,52,10,54,0.8929,0.3779,0.5150,0,0.4846,1.433882,0.0248,0.0583,5.0,0
MOT17,V001,523,switch,S_r,22,17,46,0.9582,0.3146,0.6437,0,0.9404,1.403404,0.0089,0.0562,2.0,0
MOT17,V001,524,switch,S_r,54,42,52,0.4482,0.3517,0.0966,0,-0.9340,1.343249,0.1065,0.0545,4.0,1
MOT17,V001,530,switch,S_r,54,9,33,0.9190,0.4970,0.4221,0,0.0352,1.485480,0.0135,0.0564,4.0,0
MOT17,V001,530,switch,S_r,33,42,54,0.8698,0.5262,0.3436,0,-0.9625,2.901670,0.0063,0.0568,4.0,0
MOT17,V001,554,switch,S_r,22,15,47,0.9060,0.1257,0.7803,0,-0.7757,2.407401,0.0141,0.0596,1.0,0
MOT17,V001,570,switch,S_c,67,18,24,0.0000,0.0000,0.0000,0,,,,0.1414,,0
MOT17,V001,580,switch,S_r,21,31,58,0.9705,0.6871,0.2833,0,0.9776,1.148928,0.0234,0.0567,2.0,0
MOT17,V001,596,switch,S_h,57,15,22,0.2649,0.0873,0.1776,0,,,,0.0712,,0
MOT17,V002,317,switch,S_r,98,17,100,0.8712,0.0318,0.8394,0,-0.2747,2.912044,0.0205,0.0579,1.0,0
MOT17,V002,318,switch,S_c,105,76,98,0.4290,0.0299,0.3990,0,,,,0.1414,,0
MOT17,V002,348,switch,S_c,111,38,79,0.2220,0.2200,0.0020,0,,,,0.1414,,1
MOT17,V002,353,switch,S_c,113,56,107,0.3487,0.0978,0.2509,0,,,,0.1414,,0
MOT17,V002,358,switch,S_r,96,28,87,0.8629,0.6159,0.2471,0,0.8479,1.217327,0.0629,0.0579,4.0,0
MOT17,V002,364,switch,S_r,82,31,96,0.8732,0.2137,0.6595,0,0.9718,1.096466,0.0344,0.0617,3.0,0
MOT17,V002,366,switch,S_c,116,29,82,0.4724,0.3270,0.1454,0,,,,0.1414,,1
MOT17,V002,389,switch,S_r,97,18,95,0.5826,0.0380,0.5446,0,0.2373,27.873340,0.0830,0.0547,1.0,0
MOT17,V002,391,switch,S_r,99,42,101,0.8718,0.1495,0.7223,0,0.9369,1.575363,0.0466,0.0582,2.0,0
MOT17,V002,394,switch,S_r,108,9,106,0.7696,0.1782,0.5914,0,-0.8809,2.914719,0.0315,0.0583,5.0,0
MOT17,V002,395,switch,S_r,113,48,107,0.8274,0.2778,0.5496,0,0.0238,3.231685,0.0299,0.0580,3.0,0
MOT17,V002,395,switch,S_c,119,67,97,0.1307,0.0356,0.0951,0,,,,0.1414,,0
MOT17,V002,400,switch,S_h,106,17,98,0.6802,0.2385,0.4416,0,,,,0.0665,,0
MOT17,V002,404,switch,S_h,82,26,76,0.8747,0.2908,0.5839,0,,,,0.0659,,0
MOT17,V002,405,switch,S_h,98,10,108,0.6258,0.2329,0.3929,0,,,,0.0672,,0
MOT17,V002,405,switch,S_c,120,15,99,0.2953,0.0919,0.2034,0,,,,0.1414,,0
MOT17,V002,408,switch,S_h,95,41,90,0.8317,0.0719,0.7598,0,,,,0.0725,,0
MOT17,V002,423,switch,S_r,88,61,85,0.8674,0.0263,0.8411,0,0.9879,2.423537,0.0157,0.0552,2.0,0
MOT17,V002,427,switch,S_h,96,31,82,0.5059,0.2957,0.2102,0,,,,0.0572,,0
MOT17,V002,429,switch,S_r,106,9,108,0.8862,0.6296,0.2565,0,-0.9930,2.970690,0.0129,0.0561,4.0,0
MOT17,V002,442,switch,S_r,116,31,96,0.8256,0.5295,0.2962,0,0.5352,3.340198,0.0328,0.0594,4.0,0
MOT17,V002,443,switch,S_c,123,60,88,0.3258,0.0163,0.3095,0,,,,0.1414,,0
MOT17,V002,446,switch,S_r,99,65,95,0.7295,0.0921,0.6374,0,0.1097,2.946556,0.0175,0.0570,2.0,0
MOT17,V002,448,switch,S_c,125,17,106,0.0460,0.0074,0.0386,0,,,,0.1414,,0
MOT17,V002,448,switch,S_h,106,76,105,0.0409,0.0092,0.0317,0,,,,0.0649,,0
MOT17,V002,451,switch,S_r,85,48,113,0.8738,0.7139,0.1599,0,,,0.0299,0.0548,3.0,1
MOT17,V002,452,switch,S_c,127,10,98,0.1743,0.1592,0.0151,0,,,,0.1414,,0
MOT17,V002,452,switch,S_r,103,33,110,0.6306,0.1544,0.4761,0,-0.7939,2.287157,0.0319,0.0550,1.0,0
MOT17,V002,454,switch,S_h,105,9,106,0.4584,0.0930,0.3654,0,,,,0.0529,,0
MOT17,V002,455,switch,S_h,110,33,110,0.3158,0.0637,0.2521,0,,,,0.0716,,0
MOT17,V002,457,switch,S_r,127,9,105,0.4138,0.2786,0.1352,0,0.0735,3.581569,0.1157,0.0457,3.0,1
MOT17,V002,457,switch,S_c,128,40,84,0.0374,0.0206,0.0168,0,,,,0.1414,,0
MOT17,V002,458,switch,S_h,105,9,105,0.5952,0.3438,0.2515,0,,,,0.0625,,0
MOT17,V002,458,switch,S_r,119,41,95,0.9483,0.1124,0.8359,0,0.9544,1.220413,0.0277,0.0585,1.0,0
MOT17,V002,461,switch,S_r,108,9,105,0.9183,0.5692,0.3491,0,0.9584,1.148703,0.0130,0.0582,4.0,0
MOT17,V002,461,switch,S_h,113,48,85,0.1740,0.0789,0.0951,0,,,,0.0713,,0
MOT17,V002,461,switch,S_r,107,56,113,0.6826,0.2700,0.4126,0,-0.5101,1.390394,0.0392,0.0596,2.0,0
MOT17,V002,462,switch,S_h,95,42,99,0.4571,0.2284,0.2288,0,,,,0.0853,,0
MOT17,V002,462,switch,S_h,83,49,107,0.4173,0.0349,0.3823,0,,,,0.0660,,0
MOT17,V002,473,switch,S_r,119,42,95,0.8379,0.4184,0.4194,0,0.8149,1.965762,0.0144,0.0551,2.0,0
MOT17,V002,473,switch,S_r,95,67,119,0.8945,0.4284,0.4661,0,0.6801,2.020469,0.0211,0.0603,3.0,0
MOT17,V002,475,switch,S_r,110,32,103,0.9860,0.3606,0.6254,0,0.7484,1.125666,0.0019,0.0577,3.0,0
MOT17,V002,475,switch,S_r,103,33,110,0.9749,0.3685,0.6063,0,0.9908,1.083103,0.0316,0.0579,2.0,0
MOT17,V002,479,switch,S_r,125,41,119,0.9675,0.2898,0.6777,0,0.9030,1.026447,0.0217,0.0585,2.0,0
MOT17,V002,485,switch,S_r,119,17,125,0.9122,0.1206,0.7916,0,-0.9250,12.107849,0.0128,0.0579,2.0,0
MOT17,V002,486,switch,S_h,85,56,113,0.5359,0.0000,0.5359,0,,,,0.0711,,0
MOT17,V002,488,switch,S_c,130,42,119,0.2654,0.2544,0.0109,0,,,,0.1414,,1
MOT17,V002,496,switch,S_c,131,31,116,0.6380,0.5100,0.1280,0,,,,0.1414,,1
MOT17,V002,498,switch,S_r,106,41,125,0.8971,0.4648,0.4323,0,-0.2882,1.208584,0.0126,0.0568,4.0,0
MOT17,V002,498,switch,S_r,125,78,106,0.9124,0.4754,0.4370,0,0.8347,1.327266,0.0153,0.0550,4.0,0
MOT17,V002,508,switch,S_r,106,42,130,0.8763,0.6203,0.2560,0,-0.1094,1.012233,0.0122,0.0564,5.0,0
MOT17,V002,508,switch,S_r,130,78,125,0.9594,0.3339,0.6255,0,0.9303,1.205844,0.0178,0.0570,4.0,0
MOT17,V002,514,switch,S_r,120,18,97,0.4914,0.2822,0.2092,0,-0.9980,2.865650,0.0296,0.0582,2.0,0
MOT17,V002,514,switch,S_h,125,42,106,0.4342,0.2008,0.2333,0,,,,0.0597,,0
MOT17,V002,516,switch,S_r,106,9,108,0.8505,0.6776,0.1729,0,-0.5523,2.745595,0.0299,0.0600,4.0,1
MOT17,V002,516,switch,S_r,108,41,106,0.8598,0.3908,0.4690,0,0.9862,1.884127,0.0225,0.0586,4.0,0
MOT17,V002,519,switch,S_r,97,18,120,0.8676,0.1003,0.7673,0,0.9728,4.447114,0.0322,0.0556,2.0,0
MOT17,V002,523,switch,S_r,125,10,127,0.8929,0.3779,0.5150,0,0.4846,1.433882,0.0248,0.0583,5.0,0
MOT17,V002,523,switch,S_r,95,17,119,0.9582,0.3146,0.6437,0,0.9404,1.403404,0.0089,0.0562,2.0,0
MOT17,V002,524,switch,S_r,127,42,125,0.4482,0.3517,0.0966,0,-0.9340,1.343249,0.1065,0.0545,4.0,1
MOT17,V002,530,switch,S_r,127,9,106,0.9190,0.4970,0.4221,0,0.0352,1.485480,0.0135,0.0564,4.0,0
MOT17,V002,530,switch,S_r,106,42,127,0.8698,0.5262,0.3436,0,-0.9625,2.901670,0.0063,0.0568,4.0,0
MOT17,V002,554,switch,S_r,95,15,120,0.9060,0.1257,0.7803,0,-0.7757,2.407401,0.0141,0.0596,1.0,0
MOT17,V002,570,switch,S_c,140,18,97,0.0000,0.0000,0.0000,0,,,,0.1414,,0
MOT17,V002,580,switch,S_r,94,31,131,0.9705,0.6871,0.2833,0,0.9776,1.148928,0.0234,0.0567,2.0,0
MOT17,V002,596,switch,S_h,130,15,95,0.2649,0.0873,0.1776,0,,,,0.0712,,0
MOT17,V003,317,switch,S_r,171,17,173,0.8712,0.0318,0.8394,0,-0.2747,2.912044,0.0205,0.0579,1.0,0
MOT17,V003,318,switch,S_c,178,76,171,0.4290,0.0299,0.3990,0,,,,0.1414,,0
MOT17,V003,348,switch,S_c,184,38,152,0.2220,0.2200,0.0020,0,,,,0.1414,,1
MOT17,V003,353,switch,S_c,186,56,180,0.3487,0.0978,0.2509,0,,,,0.1414,,0
