dataset,class,feature,direction,n_pos,n_pos_defined,auc,tpr_1,fpr_1,tpr_2,fpr_2
SportsMOT,S_r,oc,high,710,570,0.4968,3.9437%,0.9459%,7.7465%,1.9146%
SportsMOT,S_r,dca,high,710,570,0.8613,32.5352%,0.7362%,40.5634%,1.5802%
SportsMOT,S_r,dcb,high,710,570,0.8629,35.6338%,0.9775%,41.6901%,1.9517%
SportsMOT,S_h,margin,low,411,91,0.8935,9.4891%,0.7863%,12.1655%,1.3691%
SportsMOT,S_h,cos,low,411,0,nan,0.0000%,0.0678%,0.0000%,0.0678%
SportsMOT,S_h,vobs,high,411,0,nan,0.0000%,0.8012%,0.0000%,1.2659%
SportsMOT,S_h,oc,high,411,91,0.5585,1.7032%,0.9459%,3.1630%,1.9146%
SportsMOT,S_h,dca,high,411,91,0.8740,9.9757%,0.7362%,12.1655%,1.5802%
SportsMOT,S_h,dcb,high,411,91,0.8025,4.8662%,0.9775%,8.5158%,1.9517%
SportsMOT,overall,margin,low,2567,704,0.8533,10.5571%,0.7863%,13.4009%,1.3691%
SportsMOT,overall,cos,low,2567,471,0.6643,1.2855%,0.6546%,2.1036%,1.3063%
SportsMOT,overall,vobs,high,2567,570,0.7171,4.7526%,0.8012%,6.4277%,1.2659%
SportsMOT,overall,oc,high,2567,704,0.5227,1.6362%,0.9459%,3.0386%,1.9146%
SportsMOT,overall,dca,high,2567,704,0.8713,12.2711%,0.7362%,14.8422%,1.5802%
SportsMOT,overall,dcb,high,2567,704,0.8582,11.4531%,0.9775%,13.9852%,1.9517%
combined,S_c,margin,low,1841,221,0.9793,9.5057%,0.7501%,10.3748%,1.5079%
combined,S_c,cos,low,1841,0,nan,0.0000%,0.1162%,0.0000%,0.1162%
combined,S_c,vobs,high,1841,0,nan,0.0000%,0.7794%,0.0000%,1.8519%
combined,S_c,oc,high,1841,221,0.8407,0.9777%,0.6630%,2.9875%,1.5987%
combined,S_c,dca,high,1841,221,0.9977,11.9500%,0.7176%,12.0043%,1.6528%
combined,S_c,dcb,high,1841,221,0.8761,2.1727%,0.9844%,3.6936%,1.9733%
combined,S_r,margin,low,1921,1656,0.8380,24.4664%,0.7501%,33.3680%,1.5079%
combined,S_r,cos,low,1921,1394,0.5864,2.1864%,0.6133%,4.3727%,1.2346%
combined,S_r,vobs,high,1921,1656,0.7730,14.7319%,0.7794%,23.5294%,1.8519%
combined,S_r,oc,high,1921,1656,0.6271,6.0906%,0.6630%,10.4633%,1.5987%
combined,S_r,dca,high,1921,1656,0.8463,25.7678%,0.7176%,35.8147%,1.6528%
combined,S_r,dcb,high,1921,1656,0.8442,31.7022%,0.9844%,36.4914%,1.9733%
combined,S_h,margin,low,994,465,0.9312,24.2455%,0.7501%,28.9738%,1.5079%
combined,S_h,cos,low,994,0,nan,0.0000%,0.1162%,0.0000%,0.1162%
combined,S_h,vobs,high,994,0,nan,0.0000%,0.7794%,0.0000%,1.8519%
combined,S_h,oc,high,994,465,0.7394,4.5272%,0.6630%,10.1610%,1.5987%
combined,S_h,dca,high,994,465,0.9180,29.6781%,0.7176%,32.1932%,1.6528%
combined,S_h,dcb,high,994,465,0.8285,8.1489%,0.9844%,12.2736%,1.9733%
combined,overall,margin,low,4756,2342,0.8698,18.6291%,0.7501%,23.5492%,1.5079%
combined,overall,cos,low,4756,1394,0.5864,0.8831%,0.6133%,1.7662%,1.2346%
combined,overall,vobs,high,4756,1656,0.7730,5.9504%,0.7794%,9.5038%,1.8519%
combined,overall,oc,high,4756,2342,0.6696,3.7847%,0.6630%,7.5063%,1.5987%
combined,overall,dca,high,4756,2342,0.8748,21.2363%,0.7176%,25.8410%,1.6528%
combined,overall,dcb,high,4756,2342,0.8441,15.3490%,0.9844%,18.7342%,1.9733%
