seq,frame,type,gt_id_old,gt_id_new,track_id,old_hid,last_frame,gap,IoU_last,dx_last,dy_last,dist_last,IoU_prev,IoU_next,IoU_swap,dist_swap,area_ratio,na_flag
V001,47,reuse,4,42,6,0,43,4,0.65243931,1.70000000,-50.90000000,50.92838109,,0.87659474,,,0.96173124,no_prev
V001,104,switch,36,36,47,18,,,,,,,,0.75702443,,,,no_last_seen|no_prev|no_old
V001,108,reuse,25,9,40,0,98,10,0.35677131,20.65000000,33.55000000,39.39574850,,,,,1.46395134,no_prev|no_next
V001,124,switch,8,8,20,27,123,1,0.90898545,-2.80000000,-2.05000000,3.47023054,0.90898545,0.88112784,,,1.03165731,no_old
V001,125,reuse,7,8,20,0,124,1,0.88112784,-3.45000000,-3.60000000,4.98623104,0.88112784,0.91213572,,,1.01449259,
V001,127,switch,9,9,19,40,117,10,0.39285261,-6.05000000,59.00000000,59.30937953,,0.93416940,,,1.59484799,no_prev|no_old
V001,128,switch,7,7,12,20,127,1,0.91913361,-2.65000000,-1.40000000,2.99708191,0.91913361,0.96441614,0.43887058,28.96756807,0.98271450,
V001,128,reuse,35,9,19,0,127,1,0.93416940,1.85000000,-1.75000000,2.54656632,0.93416940,0.89163851,,,0.95213783,
V001,129,reuse,12,7,12,0,128,1,0.96441614,-0.10000000,-2.50000000,2.50199920,0.96441614,0.85422589,,,0.98224555,
V001,140,switch,12,12,17,12,139,1,0.31871361,-29.80000000,18.30000000,34.97041607,0.31871361,0.72955839,0.03150819,64.26359778,1.05510691,
V001,141,reuse,29,12,17,0,140,1,0.72955839,-7.60000000,8.55000000,11.43951485,0.72955839,0.86742182,,,1.07739856,
V001,144,switch,35,35,54,19,,,,,,,,0.81425888,,,,no_last_seen|no_prev|no_old
V001,151,switch,29,29,40,17,150,1,0.94210069,-0.15000000,3.00000000,3.00374766,0.94210069,0.65483597,0.00000000,102.56210314,1.04532344,
V001,166,reuse,13,47,13,0,165,1,0.85725104,5.05000000,-3.40000000,6.08789783,0.85725104,0.81600078,,,0.91396340,
V001,169,switch,47,47,66,13,,,,,,,,0.82727126,0.35413010,44.57378714,,no_last_seen|no_prev
V001,171,switch,30,30,40,29,170,1,0.94669876,0.20000000,-2.55000000,2.55783111,0.94669876,0.92338052,,,0.95568089,no_old
V001,172,reuse,9,30,40,0,171,1,0.92338052,-2.40000000,-0.45000000,2.44182309,0.92338052,0.87745222,,,0.98961924,
V001,176,reuse,30,29,40,0,175,1,0.97632437,0.55000000,-0.55000000,0.77781746,0.97632437,0.94023031,,,1.00341345,
V001,178,reuse,29,30,40,0,177,1,0.71793026,8.95000000,-3.95000000,9.78289323,0.71793026,0.76967937,,,0.89850880,
V001,185,switch,77,77,67,24,184,1,0.94148332,1.40000000,0.00000000,1.40000000,0.94148332,0.97881583,0.38940233,18.81893993,1.01040081,
V001,185,reuse,16,44,32,0,184,1,0.88921168,5.10000000,-0.60000000,5.13517283,0.88921168,0.78620005,,,0.99767585,
V001,188,switch,29,29,76,40,,,,,,,,0.84071076,0.36653873,28.28011669,,no_last_seen|no_prev
V001,201,switch,77,77,24,67,200,1,0.93336450,-0.70000000,1.80000000,1.93132079,0.93336450,0.95060678,,,0.96605939,no_old
V001,224,switch,74,74,83,59,,,,,,,,0.92132748,,,,no_last_seen|no_prev|no_old
V001,225,reuse,33,49,11,0,224,1,0.78720399,1.50000000,22.60000000,22.64972406,0.78720399,0.86195351,,,1.02756564,
V001,229,switch,77,77,71,24,228,1,0.88119943,2.25000000,-0.20000000,2.25887140,0.88119943,0.94950736,,,1.03515713,no_old
V001,238,switch,78,78,24,26,237,1,0.95165270,0.95000000,0.50000000,1.07354553,0.95165270,,,,1.01018330,no_next|no_old
V001,239,switch,78,78,26,26,237,2,0.94102236,-1.20000000,0.75000000,1.41509717,,0.95547774,1.00000000,0.00000000,0.96936992,no_prev
V001,242,switch,78,78,24,26,238,4,0.86433468,2.70000000,-1.65000000,3.16425347,,0.91474580,,,0.95838782,no_prev|no_old
V001,243,reuse,77,78,24,0,242,1,0.91474580,1.85000000,-0.60000000,1.94486503,0.91474580,0.93991970,,,1.00899981,
V001,247,switch,49,49,86,11,246,1,0.82077652,-8.55000000,0.95000000,8.60261588,0.82077652,0.83074729,0.32417208,46.44709356,0.98529138,
V001,247,switch,53,53,38,86,246,1,0.82436539,6.30000000,5.35000000,8.26513763,0.82436539,0.78163004,0.35945525,51.87875288,1.09311322,
V001,248,reuse,53,49,86,0,247,1,0.83074729,-7.90000000,1.20000000,7.99061950,0.83074729,0.88368218,,,0.98457124,
V001,248,reuse,32,53,38,0,247,1,0.78163004,10.05000000,3.25000000,10.56243343,0.78163004,0.86245769,,,1.05828578,
V001,249,switch,31,31,38,34,248,1,0.86245769,6.00000000,1.65000000,6.22274055,0.86245769,0.91753254,0.30482880,48.89450378,1.05218813,
V001,249,switch,32,32,11,38,247,2,0.43212947,31.10000000,0.90000000,31.11301978,,0.85134306,0.47314656,26.92285275,0.86183413,no_prev
V001,249,switch,53,53,34,38,248,1,0.89722017,-4.50000000,0.90000000,4.58911756,0.89722017,0.98148307,0.30482880,48.89450378,0.98322038,
V001,250,reuse,53,31,38,0,249,1,0.91753254,3.80000000,0.30000000,3.81182371,0.91753254,0.90517477,,,1.02107698,
V001,250,reuse,31,53,34,0,249,1,0.98148307,-0.20000000,0.75000000,0.77620873,0.98148307,0.92723120,,,1.01571344,
V001,254,switch,63,63,93,90,,,,,,,,0.83415503,0.56975547,12.60247991,,no_last_seen|no_prev
V001,254,reuse,63,64,90,0,253,1,0.88000599,2.45000000,-0.95000000,2.62773667,0.88000599,0.91643326,,,0.94797090,
V001,266,switch,46,46,95,65,,,,,,,,0.91800871,,,,no_last_seen|no_prev|no_old
V001,282,switch,26,26,10,5,281,1,0.91842812,4.80000000,-0.15000000,4.80234318,0.91842812,0.92261685,,,1.01505156,no_old
V001,283,reuse,24,26,10,0,282,1,0.92261685,4.05000000,1.50000000,4.31885401,0.92261685,0.93875223,,,1.02730502,
V001,284,switch,58,58,103,74,283,1,0.95687742,-0.85000000,-0.40000000,0.93941471,0.95687742,0.97311672,0.26381181,37.90557347,0.96252523,
V001,291,switch,23,23,103,25,290,1,0.98123605,0.30000000,0.80000000,0.85440037,0.98123605,0.94861847,,,0.99701937,no_old
V001,292,reuse,58,23,103,0,291,1,0.94861847,-0.75000000,2.45000000,2.56222560,0.94861847,0.89248185,,,1.00463425,
V001,296,switch,23,23,106,103,295,1,0.86875368,-4.05000000,-0.90000000,4.14879501,0.86875368,0.97784944,0.57514946,17.50028571,1.00806452,
V001,296,switch,25,25,115,40,,,,,,,,0.95255495,0.00000000,449.34440299,,no_last_seen|no_prev
V001,296,switch,58,58,25,103,285,11,0.69432738,6.90000000,11.85000000,13.71249430,,0.91478697,0.30007798,35.16390195,1.16236262,no_prev
V001,297,switch,29,29,40,76,296,1,0.85277455,6.85000000,0.65000000,6.88077031,0.85277455,0.89297693,,,0.99377563,no_old
V001,297,reuse,23,58,25,0,296,1,0.91478697,0.75000000,-5.35000000,5.40231432,0.91478697,0.86247674,,,1.02343362,
V001,298,switch,20,20,25,35,297,1,0.86247674,-2.05000000,-0.35000000,2.07966343,0.86247674,,0.52384283,25.96247292,0.86247674,no_next
V001,298,switch,58,58,35,25,297,1,0.85343639,-4.65000000,-1.80000000,4.98623104,0.85343639,0.89170469,0.52384283,25.96247292,1.03312309,
V001,298,reuse,30,29,40,0,297,1,0.89297693,4.80000000,-0.20000000,4.80416486,0.89297693,0.91132785,,,0.98994096,
V001,299,switch,20,20,103,35,298,1,0.98447790,-0.40000000,0.20000000,0.44721360,0.98447790,0.99576632,0.14058080,53.28679480,0.99034451,
V001,299,reuse,20,58,35,0,298,1,0.89170469,-3.40000000,-0.50000000,3.43656806,0.89170469,0.84123465,,,1.02146765,
V001,300,reuse,23,20,103,0,299,1,0.99576632,-0.10000000,0.10000000,0.14142136,0.99576632,0.94244145,,,0.99576632,
V001,301,switch,23,23,74,106,300,1,0.95582712,-1.00000000,-1.20000000,1.56204994,0.95582712,0.64729836,0.62249942,14.61446202,0.98413153,
V001,301,switch,46,46,66,95,300,1,0.98425168,-0.55000000,-0.15000000,0.57008771,0.98425168,0.96835579,,,0.99141647,no_old
V001,302,reuse,58,23,74,0,301,1,0.64729836,13.30000000,2.30000000,13.49740716,0.64729836,0.81608662,,,1.01545661,
V001,302,reuse,47,46,66,0,301,1,0.96835579,-1.05000000,0.45000000,1.14236597,0.96835579,0.97798939,,,0.99395534,
V001,302,reuse,26,50,5,0,284,18,0.00234827,93.80000000,59.25000000,110.94594404,,0.92783202,,,1.22749106,no_prev
V001,303,switch,25,25,119,115,,,,,,,,0.99021623,,,,no_last_seen|no_prev|no_old
V001,303,switch,30,30,118,40,,,,,,,,0.91716325,0.64889932,18.43108787,,no_last_seen|no_prev
V001,309,switch,23,23,116,74,308,1,0.89711860,2.80000000,2.05000000,3.47023054,0.89711860,0.98604422,0.30161889,35.38689729,1.01721259,
V001,310,switch,9,9,119,19,309,1,0.84769734,3.55000000,3.25000000,4.81300322,0.84769734,,,,1.05837176,no_next|no_old
V001,312,switch,47,47,35,66,311,1,0.29181637,-37.85000000,10.60000000,39.30626540,0.29181637,0.59731295,0.22310057,48.95324300,0.92626168,
V001,313,reuse,58,47,35,0,312,1,0.59731295,-16.60000000,4.10000000,17.09883037,0.59731295,0.72229656,,,0.96179645,
V001,314,switch,58,58,119,35,313,1,0.81581219,-5.50000000,1.80000000,5.78705452,0.81581219,0.89969972,0.00000000,132.01663721,1.08829815,
V001,314,switch,77,77,121,71,313,1,0.96660579,0.10000000,1.10000000,1.10453610,0.96660579,0.81231688,,,1.00000000,no_old
V001,315,reuse,25,58,119,0,314,1,0.89969972,-3.65000000,-0.10000000,3.65136961,0.89969972,0.86757885,,,0.99783278,
