seq,frame,type,gt_id_old,gt_id_new,track_id,note
V001,415,switch,22,22,147,tracker 136 -> 147 on gt 22
V001,416,switch,7,7,33,tracker 12 -> 33 on gt 7
V001,416,switch,21,21,136,tracker 143 -> 136 on gt 21
V001,416,switch,78,78,140,tracker 24 -> 140 on gt 78
V001,416,reuse,51,22,147,tracker 147 matched gt 51 (last frame 414) now gt 22
V001,417,reuse,18,7,33,tracker 33 matched gt 18 (last frame 414) now gt 7
V001,417,reuse,22,21,136,tracker 136 matched gt 22 (last frame 414) now gt 21
V001,419,switch,51,51,151,tracker 147 -> 151 on gt 51
V001,420,switch,18,18,12,tracker 33 -> 12 on gt 18
V001,421,reuse,7,18,12,tracker 12 matched gt 7 (last frame 415) now gt 18
V001,423,reuse,68,73,131,tracker 131 matched gt 68 (last frame 422) now gt 73
V001,424,switch,12,12,12,tracker 17 -> 12 on gt 12
V001,424,switch,18,18,17,tracker 12 -> 17 on gt 18
V001,424,switch,50,50,151,tracker 5 -> 151 on gt 50
V001,424,switch,51,51,5,tracker 151 -> 5 on gt 51
V001,425,reuse,18,12,12,tracker 12 matched gt 18 (last frame 422) now gt 12
V001,425,reuse,12,18,17,tracker 17 matched gt 12 (last frame 423) now gt 18
V001,425,reuse,51,50,151,tracker 151 matched gt 51 (last frame 423) now gt 50
V001,425,reuse,50,51,5,tracker 5 matched gt 50 (last frame 423) now gt 51
V001,427,switch,68,68,153,tracker 131 -> 153 on gt 68
V002,22,reuse,231,229,182,tracker 182 matched gt 231 (last frame 7) now gt 229
V002,24,switch,231,231,185,tracker 182 -> 185 on gt 231
V002,25,reuse,228,231,185,tracker 185 matched gt 228 (last frame 23) now gt 231
V002,26,switch,228,228,188,tracker 185 -> 188 on gt 228
V002,49,switch,224,224,193,tracker 174 -> 193 on gt 224
V002,53,switch,224,224,174,tracker 193 -> 174 on gt 224
V002,53,switch,229,229,193,tracker 182 -> 193 on gt 229
V002,54,reuse,224,229,193,tracker 193 matched gt 224 (last frame 52) now gt 229
V002,58,switch,218,218,187,tracker 171 -> 187 on gt 218
V002,58,switch,219,219,171,tracker 187 -> 171 on gt 219
V002,59,reuse,219,218,187,tracker 187 matched gt 219 (last frame 57) now gt 218
V002,59,reuse,218,219,171,tracker 171 matched gt 218 (last frame 49) now gt 219
V002,66,switch,224,224,189,tracker 174 -> 189 on gt 224
V002,67,reuse,230,224,189,tracker 189 matched gt 230 (last frame 52) now gt 224
V002,70,switch,230,230,174,tracker 189 -> 174 on gt 230
V002,71,reuse,224,230,174,tracker 174 matched gt 224 (last frame 65) now gt 230
V002,79,switch,217,217,203,tracker 180 -> 203 on gt 217
V002,131,switch,236,236,206,tracker 210 -> 206 on gt 236
V002,131,switch,243,243,210,tracker 206 -> 210 on gt 243
V002,132,reuse,243,236,206,tracker 206 matched gt 243 (last frame 130) now gt 236
V002,132,reuse,236,243,210,tracker 210 matched gt 236 (last frame 125) now gt 243
V002,145,switch,224,224,214,tracker 189 -> 214 on gt 224
V002,155,reuse,215,226,183,tracker 183 matched gt 215 (last frame 147) now gt 226
V002,167,switch,247,247,218,tracker 200 -> 218 on gt 247
V002,168,switch,177,177,217,tracker 211 -> 217 on gt 177
V002,174,switch,177,177,211,tracker 217 -> 211 on gt 177
V002,176,switch,221,221,187,tracker 191 -> 187 on gt 221
V002,177,reuse,218,221,187,tracker 187 matched gt 218 (last frame 173) now gt 221
V002,181,switch,247,247,216,tracker 218 -> 216 on gt 247
V002,182,switch,177,177,195,tracker 211 -> 195 on gt 177
V002,182,switch,222,222,211,tracker 195 -> 211 on gt 222
V002,183,switch,221,221,217,tracker 187 -> 217 on gt 221
V002,183,reuse,222,177,195,tracker 195 matched gt 222 (last frame 181) now gt 177
V002,183,reuse,177,222,211,tracker 211 matched gt 177 (last frame 177) now gt 222
V002,184,reuse,177,221,217,tracker 217 matched gt 177 (last frame 170) now gt 221
V002,187,switch,247,247,218,tracker 218 -> 218 on gt 247
V002,203,switch,247,247,200,tracker 218 -> 200 on gt 247
V002,212,switch,247,247,218,tracker 200 -> 218 on gt 247
V002,215,switch,247,247,200,tracker 218 -> 200 on gt 247
V002,217,switch,230,230,223,tracker 174 -> 223 on gt 230
V002,217,reuse,247,254,200,tracker 200 matched gt 247 (last frame 216) now gt 254
V002,221,switch,254,254,218,tracker 200 -> 218 on gt 254
V002,225,reuse,254,247,200,tracker 200 matched gt 254 (last frame 217) now gt 247
V002,229,switch,247,247,218,tracker 200 -> 218 on gt 247
V002,233,switch,265,265,225,tracker 216 -> 225 on gt 265
V002,275,switch,265,265,235,tracker 225 -> 235 on gt 265
V002,281,switch,254,254,236,tracker 200 -> 236 on gt 254
V002,327,switch,257,257,241,tracker 231 -> 241 on gt 257
V002,332,switch,245,245,231,tracker 196 -> 231 on gt 245
V002,333,reuse,257,245,231,tracker 231 matched gt 257 (last frame 304) now gt 245
V002,345,switch,245,245,196,tracker 231 -> 196 on gt 245
V002,349,switch,243,243,231,tracker 210 -> 231 on gt 243
V002,350,reuse,245,243,231,tracker 231 matched gt 245 (last frame 340) now gt 243
V002,351,switch,245,245,210,tracker 196 -> 210 on gt 245
V002,352,switch,255,255,244,tracker 220 -> 244 on gt 255
V002,352,reuse,243,245,210,tracker 210 matched gt 243 (last frame 348) now gt 245
V002,363,switch,245,245,241,tracker 210 -> 241 on gt 245
V002,364,reuse,257,245,241,tracker 241 matched gt 257 (last frame 351) now gt 245
V002,396,switch,257,257,251,tracker 241 -> 251 on gt 257
V002,398,switch,247,247,252,tracker 218 -> 252 on gt 247
V002,405,switch,245,245,218,tracker 241 -> 218 on gt 245
V002,406,reuse,247,245,218,tracker 218 matched gt 247 (last frame 366) now gt 245
V002,412,switch,245,245,210,tracker 218 -> 210 on gt 245
V002,422,switch,177,177,258,tracker 195 -> 258 on gt 177
V002,428,reuse,15,55,259,tracker 259 matched gt 15 (last frame 427) now gt 55
V002,436,switch,15,15,255,tracker 259 -> 255 on gt 15
V002,437,reuse,183,15,255,tracker 255 matched gt 183 (last frame 435) now gt 15
V002,452,switch,265,265,262,tracker 235 -> 262 on gt 265
