seq,frame,type,gt_id_old,gt_id_new,track_id,old_hid,last_frame,gap,IoU_last,dx_last,dy_last,dist_last,IoU_prev,IoU_next,IoU_swap,dist_swap,area_ratio,na_flag
V001,442,switch,31,31,43,23,441,1,0.82630799,-2.45000000,-1.75000000,3.01081384,0.82630799,0.94995130,0.51490144,19.98605764,0.92373099,
V001,443,switch,60,60,50,15,,,,,,,,0.91232953,0.35146776,9.66656609,,no_last_seen|no_prev
V001,443,reuse,29,31,43,0,442,1,0.94995130,0.70000000,-0.10000000,0.70710678,0.94995130,0.94145265,,,0.98647493,
V001,448,switch,17,17,52,33,,,,,,,,0.92959436,0.03337336,32.49249913,,no_last_seen|no_prev
V001,448,switch,76,76,33,32,444,4,0.62240632,-7.05000000,-2.25000000,7.40033783,,0.88182634,,,1.06815816,no_prev|no_old
V001,449,reuse,9,76,33,0,448,1,0.88182634,1.45000000,2.00000000,2.47032387,0.88182634,0.88007887,,,1.01729370,
V001,451,switch,48,48,12,40,450,1,0.87378079,-0.90000000,1.75000000,1.96786687,0.87378079,0.73933599,,,1.08177104,no_old
V001,452,switch,10,10,54,25,,,,,,,,0.96424737,,,,no_last_seen|no_prev|no_old
V001,452,switch,33,33,30,37,451,1,0.82133129,-10.75000000,-7.60000000,13.16520034,0.82133129,0.62312091,,,0.99556406,no_old
V001,452,reuse,57,48,12,0,451,1,0.73933599,-2.90000000,-1.65000000,3.33654012,0.73933599,0.80028793,,,1.01974762,
V001,453,reuse,31,29,43,0,452,1,0.92634115,0.65000000,1.50000000,1.63477827,0.92634115,0.92920652,,,1.01682908,
V001,454,switch,9,9,32,33,444,10,0.57361285,0.20000000,4.30000000,4.30464865,,0.90152235,0.53889732,8.27798285,1.74333613,no_prev
V001,454,reuse,29,31,43,0,453,1,0.92920652,0.70000000,0.80000000,1.06301458,0.92920652,,,,0.94671198,no_next
V001,455,switch,33,33,37,37,450,5,0.51693625,30.20000000,-2.20000000,30.28002642,,0.80319587,1.00000000,0.00000000,0.86657756,no_prev
V001,455,reuse,76,9,32,0,454,1,0.90152235,-0.85000000,2.15000000,2.31192560,0.90152235,,,,1.10923485,no_next
V001,457,switch,9,9,54,32,456,1,0.40802946,14.75000000,-0.35000000,14.75415196,0.40802946,0.67986687,,,2.08958345,no_old
V001,457,switch,40,40,55,11,,,,,,,,0.87919614,,,,no_last_seen|no_prev|no_old
V001,458,switch,9,9,32,32,455,3,0.93403065,-1.05000000,0.10000000,1.05475116,,0.92605547,1.00000000,0.00000000,1.02472805,no_prev
V001,458,switch,41,41,46,22,457,1,0.82488852,2.40000000,0.15000000,2.40468293,0.82488852,0.85951119,,,0.96530364,no_old
V001,459,reuse,67,41,46,0,458,1,0.85951119,1.75000000,0.15000000,1.75641681,0.85951119,0.86722875,,,0.95160520,
V001,460,reuse,31,29,43,0,459,1,0.76680962,-1.65000000,3.70000000,4.05123438,0.76680962,0.73771012,,,1.30410466,
V001,461,switch,9,9,35,32,460,1,0.91825581,-0.60000000,-1.95000000,2.04022058,0.91825581,0.88321032,0.47069077,12.14351679,0.91825581,
V001,461,switch,48,48,40,12,450,11,0.74064157,3.20000000,-2.50000000,4.06078810,,0.53715026,0.27995311,12.85933513,0.95202465,no_prev
V001,461,switch,56,56,34,40,460,1,0.78506319,2.25000000,1.00000000,2.46221445,0.78506319,,0.00000000,26.58707393,1.03470806,no_next
V001,462,switch,42,42,22,26,442,20,0.34175790,13.40000000,-4.95000000,14.28504463,,0.88913778,,,0.66851856,no_prev|no_old
V001,462,switch,49,49,10,34,453,9,0.30715107,-11.30000000,6.30000000,12.93754227,,0.89163735,,,1.14294815,no_prev|no_old
V001,463,reuse,41,42,22,0,462,1,0.88913778,-1.40000000,-0.20000000,1.41421356,0.88913778,0.94393625,,,0.96210508,
V001,463,reuse,62,49,10,0,462,1,0.89163735,-1.15000000,-0.15000000,1.15974135,0.89163735,0.90211264,,,1.03422635,
V001,464,reuse,29,31,43,0,463,1,0.86562610,-1.70000000,-2.25000000,2.82001773,0.86562610,,,,0.94244587,no_next
V001,466,reuse,31,29,43,0,464,2,0.59872682,6.25000000,8.45000000,10.51023311,,0.85768086,,,1.12671732,no_prev
V001,471,reuse,76,77,33,0,470,1,0.85433660,2.45000000,-0.75000000,2.56222560,0.85433660,0.93483473,,,0.98067771,
V001,473,switch,42,42,46,22,472,1,0.85895056,-0.80000000,0.85000000,1.16726175,0.85895056,0.94431240,0.41020199,11.75808233,1.16421136,
V001,473,switch,67,67,22,46,472,1,0.86576454,-1.30000000,-1.55000000,2.02299283,0.86576454,0.86826207,0.41020199,11.75808233,0.89454043,
V001,474,reuse,41,42,46,0,473,1,0.94431240,0.55000000,0.70000000,0.89022469,0.94431240,0.82130069,,,1.04447179,
V001,474,reuse,42,67,22,0,473,1,0.86826207,-1.45000000,-0.70000000,1.61012422,0.86826207,0.93838083,,,0.92394502,
V001,475,switch,32,32,37,30,474,1,0.98734015,0.55000000,0.25000000,0.60415230,0.98734015,0.99026503,0.36612581,34.66226334,0.98798837,
V001,475,switch,33,33,30,37,474,1,0.80102899,8.20000000,0.00000000,8.20000000,0.80102899,0.79941592,0.36612581,34.66226334,1.00308035,
V001,476,reuse,33,32,37,0,475,1,0.99026503,0.10000000,-0.15000000,0.18027756,0.99026503,0.98885998,,,0.99352373,
V001,476,reuse,32,33,30,0,475,1,0.79941592,8.30000000,-0.90000000,8.34865259,0.79941592,0.82652529,,,1.02089695,
V001,479,switch,41,41,52,46,478,1,0.85903814,2.05000000,-0.35000000,2.07966343,0.85903814,0.89966939,0.30284775,16.60271062,0.96752962,
V001,480,reuse,17,41,52,0,479,1,0.89966939,1.10000000,0.60000000,1.25299641,0.89966939,0.88350719,,,1.08470648,
V001,485,switch,17,17,46,52,484,1,0.91745177,-1.35000000,-0.10000000,1.35369864,0.91745177,0.90932925,0.11360658,27.50040909,0.98342256,
V001,486,switch,56,56,12,40,472,14,0.24371164,-12.15000000,-0.30000000,12.15370314,,0.84978123,0.00000000,39.94073735,0.98447691,no_prev
V001,486,reuse,42,17,46,0,485,1,0.90932925,-1.35000000,-0.30000000,1.38293167,0.90932925,0.93579862,,,0.96957675,
V001,487,reuse,48,56,12,0,486,1,0.84978123,-1.10000000,-0.50000000,1.20830460,0.84978123,0.94453166,,,0.90250000,
V001,488,switch,42,42,57,46,,,,,,,,0.85328891,0.24831603,19.27958765,,no_last_seen|no_prev
V001,490,reuse,49,64,34,0,489,1,0.93388590,-0.15000000,-0.85000000,0.86313383,0.93388590,0.97214485,,,0.97371334,
V001,491,reuse,77,78,33,0,490,1,0.94940667,-0.60000000,-0.35000000,0.69462220,0.94940667,0.94983318,,,1.02080066,
V001,496,switch,31,31,58,43,,,,,,,,0.98482279,0.51131004,19.63288058,,no_last_seen|no_prev
V001,498,switch,41,41,33,52,497,1,0.91796107,1.25000000,0.25000000,1.27475488,0.91796107,0.88560484,0.33986053,16.09324392,1.01246146,
V001,498,switch,78,78,52,33,497,1,0.87954086,-1.25000000,0.80000000,1.48408221,0.87954086,0.96569266,0.33986053,16.09324392,1.09599282,
V001,499,reuse,78,41,33,0,498,1,0.88560484,0.00000000,-0.55000000,0.55000000,0.88560484,0.93239140,,,0.88560484,
V001,499,reuse,41,78,52,0,498,1,0.96569266,-0.45000000,0.35000000,0.57008771,0.96569266,0.89140751,,,0.98772053,
V001,508,switch,42,42,33,57,507,1,0.93196557,0.85000000,0.95000000,1.27475488,0.93196557,0.95365008,0.21711586,21.19964622,1.03279014,
V001,508,switch,78,78,57,52,507,1,0.89239609,-1.55000000,1.00000000,1.84458667,0.89239609,0.90143380,,,1.04228036,no_old
