seq,switch_count,reuse_count,num_switches_metric,transfer_rows,status
V001,66,77,66,61,OK
V002,66,77,66,61,OK
V003,66,77,66,61,OK
V004,6,5,6,4,OK
V005,6,5,6,4,OK
V006,6,5,6,4,OK
V007,40,41,40,42,OK
V008,40,41,40,42,OK
V009,40,41,40,42,OK
V010,21,21,21,21,OK
V011,21,21,21,21,OK
V012,21,21,21,21,OK
V013,27,21,27,21,OK
V014,27,21,27,21,OK
V015,27,21,27,21,OK
V016,16,12,16,10,OK
V017,16,12,16,10,OK
V018,16,12,16,10,OK
V019,7,12,7,11,OK
V020,7,12,7,11,OK
V021,7,12,7,11,OK
