ds,tag,eps0,gamma,fpr_det,tpr_Sr_frame,tpr_Sr_box,tpr_Sc_frame,tpr_Sc_box,tpr_Sh_frame,tpr_Sh_box,fpr_anchor,tpr_Sr_box_anchor,n_events_Sr,n_events_Sc,n_events_Sh
sportsmot,full,0.15,1.0,0.01366676709852365,0.5443425076452599,0.27522935779816515,0.31895424836601305,0.03790849673202614,0.6254180602006689,0.13377926421404682,0.03387250893126157,0.4847094801223242,710,1445,411
sportsmot,full,0.15,1.25,0.019864847415314423,0.6422018348623854,0.3470948012232416,0.3843137254901961,0.05228758169934641,0.6923076923076923,0.14715719063545152,0.03387250893126157,0.4847094801223242,710,1445,411
sportsmot,full,0.15,1.5,0.027609004433349116,0.7262996941896025,0.43425076452599387,0.4522875816993464,0.05620915032679739,0.7391304347826086,0.17725752508361203,0.03387250893126157,0.4847094801223242,710,1445,411
sportsmot,full,0.15,2.0,0.04933327594370077,0.8608562691131498,0.5978593272171254,0.5934640522875817,0.06143790849673202,0.8127090301003345,0.24749163879598662,0.03387250893126157,0.4847094801223242,710,1445,411
sportsmot,full,0.2,1.0,0.022376791632591573,0.6788990825688074,0.3746177370030581,0.41045751633986927,0.05359477124183006,0.7157190635451505,0.15384615384615385,0.03387250893126157,0.4847094801223242,710,1445,411
sportsmot,full,0.2,1.25,0.03387250893126157,0.77217125382263,0.4847094801223242,0.4993464052287582,0.058823529411764705,0.7625418060200669,0.20735785953177258,0.03387250893126157,0.4847094801223242,710,1445,411
sportsmot,full,0.2,1.5,0.049340162699608316,0.8608562691131498,0.5978593272171254,0.5934640522875817,0.06143790849673202,0.8127090301003345,0.24749163879598662,0.03387250893126157,0.4847094801223242,710,1445,411
sportsmot,full,0.2,2.0,0.09100331425128051,0.9709480122324159,0.7660550458715596,0.738562091503268,0.06274509803921569,0.8929765886287625,0.28762541806020064,0.03387250893126157,0.4847094801223242,710,1445,411
